Material,Descripción,CARREFOUR,CHANGO MAS,COOPERATIVA OBRERA (Bahia Blanca),COTO,DIA %,DIARCO,Hergo (MDP),JUMBO,LUVIK S.A.,MAKRO,"Mar del Plata, EL GAUCHITO",MAXI CARREFOUR,MAXICONSUMO,NINI,PLAZA VEA,VITAL,YAGUAR,Total general,Descripcion_Norm,Precio_Minimo,Precio_Maximo,Precio_Promedio,Competidores_Activos,Ganador,Ahorro_Pct,Ahorro_Abs
185827,Alfajor COFLER mousse simple x40gr,"1175,0",,,"1200,0",,,,"1050,0",,,,,,,,"879,0",,"1076,0",ALFAJOR COFLER MOUSSE SIMPLE X40GR,"879,0","1200,0","1084,6666666666667",3,VITAL,"18,961278426551942","205,66666666666674"
185828,Alfajor COFLER block simple agrup 6ux41g,"6519,0","6519,0",,"6800,0",,,,,,,,,,,,"5645,0",,"6370,75",ALFAJOR COFLER BLOCK SIMPLE AGRUP 6UX41G,"5645,0","6800,0","6321,333333333333",3,VITAL,"10,699219573929547","676,333333333333"
185831,Gomitas MOGUL tubitos tutti frutti x20g,,,,,,,,,,,,,,,,"419,0",,"419,0",GOMITAS MOGUL TUBITOS TUTTI FRUTTI X20G,"419,0","419,0","419,0",1,VITAL,"0,0","0,0"
185832,HUEVOS blancos santa ana extra gde. x12u,,,,,,,,,,,,,,,,"3999,0",,"3999,0",HUEVOS BLANCOS SANTA ANA EXTRA GDE. X12U,"3999,0","3999,0","3999,0",1,VITAL,"0,0","0,0"
185833,HUEVOS blancos sta. ana eggo. jumbo x6u,,,,,,,,,,,,,,,,"1899,0",,"1899,0",HUEVOS BLANCOS STA. ANA EGGO. JUMBO X6U,"1899,0","1899,0","1899,0",1,VITAL,"0,0","0,0"
185834,Gomitas MOGUL tubitos frutilla x70gr,,"1549,0",,"1679,0","1550,0","1399,0",,,,,,,,,,"1459,0",,"1527,2",GOMITAS MOGUL TUBITOS FRUTILLA X70GR,"1399,0","1679,0","1512,3333333333333",3,DIARCO,"7,493938726030412","113,33333333333326"
185835,HUEVOS blancos santa ana grandes x6u,,,,,,,,,,,,,,,,"1899,0",,"1899,0",HUEVOS BLANCOS SANTA ANA GRANDES X6U,"1899,0","1899,0","1899,0",1,VITAL,"0,0","0,0"
185836,Gomitas MOGUL tubito tutti frutti x70gr,"1547,8",,,"1679,0",,"1399,0",,,,,,,"1199,9",,"1550,0","1235,0",,"1435,1166666666668",GOMITAS MOGUL TUBITO TUTTI FRUTTI X70GR,"1199,9","1679,0","1435,1166666666668",6,MAXICONSUMO,"16,39007281637962","235,2166666666667"
185837,Gomitas MOGUL ladrillos frutilla x150g,,,,,,,,,,,,,,,,"2129,0",,"2129,0",GOMITAS MOGUL LADRILLOS FRUTILLA X150G,"2129,0","2129,0","2129,0",1,VITAL,"0,0","0,0"
185838,Gomitas MOGUL ladrillos frutilla x500gr,,,,"9313,0",,,,,,,,,"5499,9",,,"5555,0",,"6789,3",GOMITAS MOGUL LADRILLOS FRUTILLA X500GR,"5499,9","9313,0","6789,3",3,MAXICONSUMO,"18,99164862356945","1289,4000000000005"
