id,site,position,productId,ean,productName,listPrice,Price,.,Material,Descripcion,Precio,variacion,Status,Indicador,Top Mil,Familia,Depto,releaseDate,sector,medida,brandId,brand,linkText,link,categoryId,categories,imageUrl,sku,mpn,priceCurrency,offer,promo,installments,extra,seller,container,supplier,supplierCountry,modeSale,priceValidUntil,AvailableQuantity,Available,lastChange,pass,timestamp,Price_20-09-2025,Change %
28025,CARREFOUR,1021,1755230,,10 Bolsas Recolectoras De Polvo Para Uñas  Gadnic Repuesto Para Manicura Reutilizable,29639.0,22799.0,,,,,,,,,,,2025-09-11T00:00:00Z,,,2004787,Gadnic,10-bolsas-recolectoras-de-polvo-para-uñas--gadnic-repuesto-para-manicura-reutilizable-1755230,https://www.carrefour.com.ar/10-bolsas-recolectoras-de-polvo-para-uñas--gadnic-repuesto-para-manicura-reutilizable-1755230/p,47,/Electro y tecnología/Cuidado personal y salud/Salud y bienestar/,https://carrefourar.vteximg.com.br/arquivos/ids/701564/image-af53b44a978849bea3c14e4cfba3f5c4.jpg?v=638931987166630000,255706,1755230,ARS,23.078%,,"['Visa 3 cuotas sin interes', 'Mastercard 3 cuotas sin interes', 'Tarjeta Carrefour Mastercard 3 cuotas sin interes']",,Bidcom,,,,Externo,,100,True,,0,21/09/2025 04:40:08,22799.0,0
26135,CARREFOUR,345,1749274,,100 Mirror Glaze Pro Speed Compound 900 Ml,116120.99,81284.69,,,,,,,,,,,2025-03-14T00:00:00Z,,,2004757,Meguiars,100-mirror-glaze-pro-speed-compound-900-ml-1749274,https://www.carrefour.com.ar/100-mirror-glaze-pro-speed-compound-900-ml-1749274/p,641,/Automotor/Todo para el auto/Limpieza automotor/,https://carrefourar.vteximg.com.br/arquivos/ids/633897/image-3d87726f6f6743468edfe4431d8eda06.jpg?v=638775219168400000,232403,1749274,ARS,30.000%,,"['Visa 3 cuotas sin interes', 'Mastercard 3 cuotas sin interes', 'Tarjeta Carrefour Mastercard 3 cuotas sin interes']",,Universo pinturerias,,,,Externo,2026-09-20T00:00:00Z,10,True,,0,21/09/2025 04:40:05,81284.69,0
25103,CARREFOUR,2448,1751731,7792981066115.0,100% Whey Protein - Proteína Concentrada En Polvo Chocolate,52000.0,46800.0,,,,,,,,,,,2025-05-30T00:00:00Z,,,2004978,Ena Sport,100--whey-protein---proteina-concentrada-en-polvo-1751731,https://www.carrefour.com.ar/100--whey-protein---proteina-concentrada-en-polvo-1751731/p,99,/Bazar y textil/Tiempo libre y deportes/Deporte/Fitness/,https://carrefourar.vteximg.com.br/arquivos/ids/667609/image-103af6b12f7149edb1b75609a99a6564.jpg?v=638842076257730000,243694,1751731,ARS,10.000%,,"['Visa 3 cuotas sin interes', 'Mastercard 3 cuotas sin interes', 'Tarjeta Carrefour Mastercard 3 cuotas sin interes']",,Ena Sports,,,,Externo,2026-09-20T00:00:00Z,10,True,,0,21/09/2025 04:40:02,46800.0,0
