id,site,position,productId,EAN,productName,listPrice,Price,.,Material,Descripcion,Precio,variacion,Status,Indicador,Top Mil,Familia,Depto,releaseDate,sector,medida,brandId,brand,linkText,link,categoryId,categories,imageUrl,ean,sku,mpn,priceCurrency,offer,promo,installments,extra,seller,container,supplier,supplierCountry,modeSale,priceValidUntil,AvailableQuantity,Available,lastChange,pass,timestamp,IVA,Precio Final,profit,costo
2059868,SEC_NINI,13,5899265,4023103147737,VILEDA  Balde Con Pedal Y Mopa   1 Uni,91501.64,75621.19,,165040,Mopa centrif VILEDA easy wring&clean,73999,-0.1912822546131413,,C,,-,Limpieza y Perfumería,,,,,VILEDA,,http://ecommerce.nini.com.ar:8081--5899265,,Limpieza/Plásticos Para Limpieza,http://ecommerce.nini.com.ar:8081/ventas.administracion/Imagenes/Productos/5899265/_5899265.jpg,,,,ARS,17.355%,91501.64,,profit: 20.23%,,,,,,,54,,,0,21/09/2025 22:55:27,1.21,91501.64,20.23,60323.02
2059859,SEC_NINI,4,5977410,7790900003227,IBERIA  Balde C/Escurridor Turbo Matic 1 Uni,72000.0,59504.13,,170458,Mopa centrif IBERIA PRONTO turbo matic,72000,0.0,,C,,-,Limpieza y Perfumería,,,,,IBERIA,,http://ecommerce.nini.com.ar:8081--5977410,,Limpieza/Plásticos Para Limpieza,http://ecommerce.nini.com.ar:8081/ventas.administracion/Imagenes/Productos/5977410/_5977410.jpg,,,,ARS,17.355%,72000.0,,profit: 30.00%,,,,,,,96,,,0,21/09/2025 22:55:27,1.21,72000.0,30.0,41652.89
2060152,SEC_NINI,130,6636454,8445290573643,FELIX  Alim.P/Gato Gatitos Megamix 15 Kg,64928.71,53660.09,,185871,ALIMENTO GATO felix megamix x8kg,34999,-0.4609626465703692,,D,,-,1,,,,,FELIX,,http://ecommerce.nini.com.ar:8081--6636454,,Mascotas/Alimento Para Gatos,http://ecommerce.nini.com.ar:8081/ventas.administracion/Imagenes/Productos/6636454/_6636454.jpg,,,,ARS,17.355%,64928.71,,profit: 35.60%,,,,,,,8,,,0,21/09/2025 22:55:30,1.21,64928.71,35.6,34557.1
